SlimeVolley: 2024-02-15 20:04:20,504 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:04:20,504 [INFO] ==============================
SlimeVolley: 2024-02-15 20:05:42,636 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:05:42,636 [INFO] ==============================
SlimeVolley: 2024-02-15 20:07:28,363 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-15 20:07:28,363 [INFO] ==============================
SlimeVolley: 2024-02-16 17:12:51,346 [INFO] EvoJAX SlimeVolley
SlimeVolley: 2024-02-16 17:12:51,346 [INFO] ==============================
SlimeVolley: 2024-02-16 17:12:55,351 [INFO] use_for_loop=False
SlimeVolley: 2024-02-16 17:12:55,385 [INFO] Start to train for 500 iterations.
SlimeVolley: 2024-02-16 17:14:15,707 [INFO] Iter=60, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:17,221 [INFO] Iter=70, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:18,390 [INFO] Iter=80, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:20,303 [INFO] Iter=90, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:22,226 [INFO] Iter=100, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:22,300 [INFO] [TEST] Iter=100, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:24,310 [INFO] Iter=110, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:25,371 [INFO] Iter=120, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:26,184 [INFO] Iter=130, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:27,228 [INFO] Iter=140, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:28,271 [INFO] Iter=150, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:28,353 [INFO] [TEST] Iter=150, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:29,370 [INFO] Iter=160, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:30,488 [INFO] Iter=170, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:31,513 [INFO] Iter=180, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:32,538 [INFO] Iter=190, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:33,619 [INFO] Iter=200, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:33,652 [INFO] [TEST] Iter=200, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:34,709 [INFO] Iter=210, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:35,793 [INFO] Iter=220, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:36,878 [INFO] Iter=230, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:37,957 [INFO] Iter=240, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:39,047 [INFO] Iter=250, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:39,075 [INFO] [TEST] Iter=250, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:40,074 [INFO] Iter=260, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:41,293 [INFO] Iter=270, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:42,666 [INFO] Iter=280, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:44,154 [INFO] Iter=290, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:44,998 [INFO] Iter=300, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:45,031 [INFO] [TEST] Iter=300, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:46,099 [INFO] Iter=310, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:47,211 [INFO] Iter=320, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:48,310 [INFO] Iter=330, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:49,468 [INFO] Iter=340, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:50,545 [INFO] Iter=350, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:50,577 [INFO] [TEST] Iter=350, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:51,633 [INFO] Iter=360, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:52,747 [INFO] Iter=370, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:53,900 [INFO] Iter=380, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:55,004 [INFO] Iter=390, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:56,126 [INFO] Iter=400, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:56,158 [INFO] [TEST] Iter=400, #tests=100, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:57,244 [INFO] Iter=410, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:58,329 [INFO] Iter=420, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:14:59,407 [INFO] Iter=430, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:00,488 [INFO] Iter=440, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
SlimeVolley: 2024-02-16 17:15:01,648 [INFO] Iter=450, size=128, max=0.0000, avg=0.0000, min=0.0000, std=0.0000
